num_epochs,lr_generator,lr_discriminator,schedule,nb_step_discrim,nb_epoch_fade_in_new_layer,EMA_value,device,use_loss,momment_loss,scaling_penalty,betas_generator,betas_discriminator,scaling,batch_size,num_batches_per_epoch,target_len,nb_features,ks_conv,key_features,value_features,ks_value,ks_query,ks_key,num_workers,path_to_pretrain,cardinality,embedding_dim,dataset,which_model,model_id,bucket_name,channel_nb,pos_enc_dimension,self_attention,TrainingJobName,encoder_network_factor,DownloadStatus,TrainingJobStatus,SaveLocation,ID_EXPERIMENT,FID_MEAN,FID_STD,FID_TS_MEAN,FID_TS_STD,nb_run_experiment,UploadS3,UploadS3Location,LARS,context_length,cold_start_value,missing_values_stretch
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_51_14__183,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len16-20092021-135114-183,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_46_30___3321045,0.13206440210342407,0.03171722963452338,0.030015841126441963,0.009698384441435335,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len16-20092021-135114-183,,0.0,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_51_30__857,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len32-20092021-135130-857,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_46_38___1300597,0.14720995724201202,0.04476518556475639,0.05583120509982109,0.0106688030064106,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len32-20092021-135130-857,,0.0,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_51_51__976,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len64-20092021-135151-976,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_46_45___1535569,0.3018557131290436,0.06334579735994339,0.17491766810417175,0.04682435095310211,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len64-20092021-135151-976,,0.0,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_52_06__504,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len128-20092021-135206-504,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_46_54___938683,0.3072591722011566,0.055437032133340836,0.3481255769729614,0.036862973123788834,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len128-20092021-135206-504,,0.0,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_52_22__664,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len256-20092021-135222-664,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_47_05___695390,0.2989080548286438,0.05385233089327812,0.8798950314521791,0.1002221778035164,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len256-20092021-135222-664,,0.0,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_52_41__202,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len16-20092021-135241-202,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_47_10___8994294,0.10081349313259123,0.058844342827796936,0.0533021092414856,0.022482097148895264,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len16-20092021-135241-202,,0.0,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_52_57__995,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len32-20092021-135257-995,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_47_15___7426357,0.1287042647600174,0.052578214555978775,0.14645370841026306,0.059073720127344125,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len32-20092021-135257-995,,0.0,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_53_13__492,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len64-20092021-135313-492,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_47_21___8992648,0.15206480026245114,0.09756352752447127,0.446540117263794,0.32973164319992065,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len64-20092021-135313-492,,0.0,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_53_28__640,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len128-20092021-135328-640,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_47_28___1409825,0.17444732785224915,0.05640910193324089,0.8614407777786255,0.3663919568061829,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len128-20092021-135328-640,,0.0,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_53_47__429,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len256-20092021-135347-429,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,21_09_2021__17_47_37___4247196,0.2050611674785614,0.13682430982589722,2.093738079071045,0.9128245115280152,10,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len256-20092021-135347-429,,0.0,,
