num_epochs,lr_generator,lr_discriminator,schedule,nb_step_discrim,nb_epoch_fade_in_new_layer,EMA_value,device,use_loss,momment_loss,scaling_penalty,betas_generator,betas_discriminator,scaling,batch_size,num_batches_per_epoch,target_len,nb_features,ks_conv,key_features,value_features,ks_value,ks_query,ks_key,num_workers,path_to_pretrain,cardinality,embedding_dim,dataset,which_model,model_id,bucket_name,channel_nb,pos_enc_dimension,self_attention,TrainingJobName,encoder_network_factor,DownloadStatus,TrainingJobStatus,SaveLocation,UploadS3,UploadS3Location,context_length,LARS,missing_values_stretch,cold_start_value
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_51_14__183,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len16-20092021-135114-183,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len16-20092021-135114-183,0,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_51_30__857,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len32-20092021-135130-857,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len32-20092021-135130-857,0,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_51_51__976,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len64-20092021-135151-976,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len64-20092021-135151-976,0,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_52_06__504,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len128-20092021-135206-504,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len128-20092021-135206-504,0,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[963],10,traffic,PSA-GAN,20_09_2021__13_52_22__664,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-traffic-len256-20092021-135222-664,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-traffic-len256-20092021-135222-664,0,,,
2500,5e-05,5e-05,[1000],1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,16,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_52_41__202,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len16-20092021-135241-202,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len16-20092021-135241-202,0,,,
3500,5e-05,5e-05,"[1000, 2000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,32,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_52_57__995,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len32-20092021-135257-995,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len32-20092021-135257-995,0,,,
4500,5e-05,5e-05,"[1000, 2000, 3000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,64,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_53_13__492,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len64-20092021-135313-492,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len64-20092021-135313-492,0,,,
5500,5e-05,5e-05,"[1000, 2000, 3000, 4000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,128,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_53_28__640,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len128-20092021-135328-640,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len128-20092021-135328-640,0,,,
6500,5e-05,5e-05,"[1000, 2000, 3000, 4000, 5000]",1,500,0.2,gpu,lsgan,1,0,"(0.9, 0.999)","(0.9, 0.999)",NoScale,128,100,256,15,3,1,1,1,1,1,4,False,[414],10,m4_hourly,PSA-GAN,20_09_2021__13_53_47__429,s3://s3-violation-test-bucket,32,0,True,PSA-GAN-m4-hourly-len256-20092021-135347-429,,True,Completed,/home/ec2-user/SageMaker/TrainedModels,True,s3-violation-test-bucket/ICLRModels/PSA-GAN-m4-hourly-len256-20092021-135347-429,0,,,
